index	name	pval	adj_pval	diff	t_statistic	se	df	avg_abundance	n_approx	n_obs
246	O04532	3.43E-07	4.50E-06	-2.532800033	-8.991921778	0.281675052	14	23.26304781	10.03008997	10
247	O04573	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
248	O04603	1.81E-08	3.41E-07	-3.924406302	-11.39728908	0.344328048	14	23.41199245	10.21560828	10
249	O04616	0.005430174	0.019199169	-2.668410378	-3.2842158	0.812495445	14	24.34430189	13.33656761	12
250	O04630	2.39E-06	2.51E-05	-1.823863129	-7.624634647	0.239206626	14	22.5203797	10.1460485	10
251	O04834;Q8VYP7;O80489;Q3E6Q3	2.13E-08	3.91E-07	-3.254448475	-11.25230195	0.289225128	14	23.19149077	12.22675288	12
252	Q9S9K7;O04848	0.791668316	0.939859012	-0.4137548	-0.269245449	1.536719751	14	21.19842052	7.001	4
253	O04905	0.098839222	0.198290786	-2.829133674	-1.767989428	1.600198298	14	22.03509504	7.001	6
254	O04922;O22850	0.002566402	0.01028242	-1.7337351	-3.66136363	0.473521692	14	22.34106469	8.185151264	8
255	O04983	2.21E-05	0.000177761	-2.904653007	-6.22759872	0.466416212	14	23.70203953	14.16889273	14
256	O14497	0.099972784	0.199909254	0.503122232	1.761465952	0.285626998	14	25.07376536	21.00000002	21
257	O14519;O75956	0.52308848	0.694381982	0.265420573	0.654994025	0.405225945	14	22.66670801	9.793053728	10
258	O14524	0.473567989	0.64465672	-0.826685837	-0.736534023	1.122400068	14	20.77966036	11.16832964	11
259	O14530	0.298442959	0.457003752	1.197497643	1.079893348	1.10890362	14	22.45343183	17.03250108	17
260	O14545	2.04E-07	2.85E-06	-2.106322018	-9.385701984	0.224418165	14	26.60707666	21	21
261	O14548	0.917638696	0.939859012	-0.130247652	-0.105290875	1.237026974	14	21.66273832	7.001	4
262	O14561	0.560261961	0.731808373	-0.044635183	-0.596656611	0.074808829	14	26.73941774	21	21
263	O14562	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
264	O14579	0.000508248	0.002652041	0.357098934	4.490609351	0.079521264	14	26.70482378	21	21
265	O14602;P47813	0.003196325	0.012361004	0.320187636	3.550724482	0.090175297	14	27.33450092	21.00000002	21
266	O14617	0.002368285	0.009650192	0.538369511	3.701923387	0.145429674	14	25.85689034	21	21
267	Q92997;O14641	0.716202417	0.88164005	-0.453300768	-0.370984677	1.221885421	14	20.81814031	8.311912044	8
268	O14646	0.917786524	0.939859012	-0.133005935	-0.105101143	1.265504174	14	21.2597972	7.001	4
269	O14656	0.462226296	0.63295063	0.838239925	0.755922141	1.108897172	14	21.96967651	16.07381823	16
270	O14672	0.099004901	0.198406254	0.308702436	1.767031853	0.174701116	14	23.92238025	17.91029113	18
271	O14737	7.24E-06	6.74E-05	0.286764698	6.907624192	0.04151423	14	26.00312251	21.00000006	21
272	O14744	0.750529388	0.912345339	0.019493727	0.324267713	0.060116151	14	27.38339109	21.00000414	21
273	O14745	0.007473806	0.025239341	0.197356419	3.123589293	0.063182576	14	26.34778244	21	21
274	O14757	0.61547483	0.787035758	0.566558519	0.513697543	1.102902918	14	21.8879532	15.0613545	15
275	O14773	6.31E-05	0.000443356	-0.62274207	-5.620381254	0.110800681	14	24.33650357	21	21
276	O14776;Q5VWI1	0.545677483	0.71659221	-0.039497968	-0.619281464	0.063780316	14	27.29248507	21	21
277	O14787	0.004239819	0.015622627	-1.033289638	-3.408590557	0.303142786	14	23.31977202	16.73485115	17
278	O14818;Q8TAA3	0.033015862	0.08485169	0.070954427	2.364834888	0.030003966	14	29.41046226	21	21
279	O14828	0.661023924	0.830617828	-0.058611094	-0.447977142	0.13083501	14	25.96681423	21.00000057	21
280	O14874	7.03E-06	6.60E-05	-1.756098616	-6.925489479	0.253570325	14	20.21061637	9.029194223	9
281	O14925;Q5SRD1	0.243549171	0.391342144	0.147988893	1.217469825	0.121554465	14	23.10801275	17.96820605	18
282	O14929;REV__Q7LFX5	0.401281885	0.570079168	0.068606292	0.865634026	0.07925554	14	26.83308729	21	21
283	O14933	0.214062762	0.355479791	-0.226109618	-1.30160572	0.173715907	14	23.25311648	18.95744992	19
284	O14949	0.020669324	0.05838103	0.262054337	2.607598284	0.100496437	14	26.02556683	21.00000001	21
285	O14950;P24844	0.917638014	0.939859012	-0.129663651	-0.10529175	1.231470177	14	21.4169645	7.001	2
286	O14964	0.056790444	0.129453993	-0.302677428	-2.076050375	0.145794838	14	23.84226609	18.9387119	19
287	O14966	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
288	O14974	0.917637143	0.939859012	-0.129941011	-0.105292868	1.23409128	14	21.13885783	7.001	5
289	O14976	0.821284338	0.939859012	0.254158598	0.230175948	1.104192685	14	21.64473106	14.08657192	14
290	O14979	0.017833901	0.051780392	0.13612772	2.683189834	0.05073354	14	28.32512931	21.00000083	21
291	O14980	0.113495019	0.218637004	0.079713227	1.688294535	0.047215237	14	28.75086387	21	21
292	O14981	0.917637215	0.939859012	-0.129838997	-0.105292776	1.233123511	14	21.27166708	7.001	0
293	O15027	3.34E-05	0.000255073	0.622836888	5.984846674	0.10406898	14	24.75771991	21	21
294	O15042	0.002219433	0.009171535	0.270710966	3.734725245	0.072484841	14	26.92428677	21.00000002	21
295	O15067	0.21604426	0.3574763	0.151368023	1.295672653	0.116825822	14	27.27117453	21	21
296	O15091	0.205015388	0.343146766	1.475380559	1.32926893	1.109918788	14	22.37929065	11.99979031	12
297	O15111;O14920	0.130204053	0.241989639	1.754366598	1.607738386	1.091201537	14	22.8458157	7.983658343	8
298	O15116	0.133687884	0.247461937	-0.471228172	-1.592078316	0.295983035	14	22.12760211	12.04191134	12
299	O15126	0.320235804	0.48206128	1.182267697	1.030532389	1.147239728	14	22.08589129	8.058458258	8
